"Ano/mês";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";" Total"
"1994";"1066655";"247271";"1060057";"243144";"2702656";"0";"0";"3573421";"1665626";"3525002";"892862";"0";"3433375";"0";"0";"6099252";"0";"1296432";"0";"0";"0";"2942516";"0";"0";"1019664";"1017343";"0";"30785276"
"1995";"1131629";"532068";"1713669";"382307";"2989578";"199883";"0";"4516440";"1440068";"3454249";"1124588";"779729";"6212277";"1093767";"1244236";"4356615";"0";"2549855";"4418954";"2694310";"3546002";"2591758";"4945493";"0";"1243724";"2890781";"8370";"56060350"
"1996";"1321580";"381238";"2330216";"343973";"3762019";"217548";"861857";"3235673";"1339793";"4313033";"1374695";"1620745";"6013353";"1424137";"1158405";"5576198";"0";"1810593";"3624884";"2685627";"3282837";"2102093";"4818668";"624349";"1195919";"2956842";"1059721";"59435996"
"1997";"1268726";"750997";"2714198";"330366";"5986769";"342782";"940661";"4463053";"1491053";"5798538";"1593657";"3235523";"6364081";"1802078";"1220961";"7641690";"10308837";"1749539";"7275325";"12155615";"6709434";"2759330";"4990553";"1245403";"2057182";"3327562";"1522637";"100046550"
"1998";"1529870";"613288";"3701986";"636257";"7379632";"594037";"1617472";"5709568";"1604822";"4654166";"1686305";"2694232";"5992067";"1897345";"1145494";"8814911";"11316601";"3115713";"7678953";"21983469";"4531876";"3420888";"4771179";"1445619";"3558030";"4236982";"1844074";"118174836"
"1999";"1409218";"2095997";"3090981";"452054";"8898969";"623304";"1972340";"7880828";"2170145";"6716104";"2113101";"2761255";"7849485";"2746091";"2026214";"12098406";"19681975";"2709205";"10757180";"28686694";"11553319";"3689189";"6822400";"2044697";"3358897";"5227361";"2275479";"161710888"
"2000";"1946752";"897103";"4375096";"696255";"9555755";"801443";"2015982";"7946756";"3569150";"7282168";"3076836";"2640373";"9532845";"4181914";"1871118";"15148885";"18771161";"2649509";"12023435";"33610215";"8916069";"5197414";"7238590";"2660005";"4221129";"6895461";"3547372";"181268791"
"2001";"1708077";"803376";"3627279";"497155";"7828208";"950739";"1563858";"7062753";"2755932";"6207816";"2398252";"2778642";"8956393";"2831806";"2151968";"14990428";"21661166";"2989388";"13904327";"41813474";"8484257";"4286101";"7925240";"2223468";"2931112";"5310681";"1884596";"180526492"
"2002";"1307970";"730728";"3437222";"512151";"10078315";"699919";"1576494";"6196708";"3079740";"6112441";"2486625";"3083571";"7879981";"3767158";"1700224";"16724931";"15768385";"2287449";"11594352";"30439591";"7459354";"5113876";"9210525";"2902173";"3063932";"4480963";"1659352";"163354130"
"2003";"1240459";"721201";"3021795";"496589";"8499530";"603199";"1377203";"5733346";"2839842";"6762604";"2208708";"3026344";"6829469";"2639163";"1921528";"11799356";"15315432";"2519385";"9446515";"27201692";"6608905";"3549033";"6588661";"2104758";"2750528";"4017037";"1587523";"141409805"
"2004/Jan";"59412";"29835";"141808";"20276";"284587";"29143";"68922";"265793";"156576";"297450";"97903";"135971";"315107";"123281";"71355";"469544";"665103";"115375";"483743";"1365624";"299192";"161127";"325751";"89923";"118989";"196498";"93742";"6482030"
"2004/Fev";"50286";"30364";"138303";"33949";"302455";"19902";"64348";"264947";"130772";"267623";"82450";"119061";"297906";"127826";"77855";"564713";"584212";"116904";"417159";"1362285";"277958";"185406";"320765";"102077";"119732";"201018";"81753";"6342029"
"2004/Mar";"63872";"32685";"135221";"28186";"303220";"32661";"70009";"277182";"166171";"297632";"113053";"145846";"329566";"123912";"75110";"476363";"738850";"187086";"499371";"1409604";"345190";"162273";"353542";"112188";"112438";"195247";"116443";"6902921"
"2004/Abr";"163641";"73805";"329101";"40779";"852200";"55623";"189502";"747493";"416994";"929120";"346444";"472171";"1007616";"342370";"211439";"1605863";"2436181";"471767";"1813756";"4517822";"1222325";"639107";"1315204";"282813";"295322";"626945";"229643";"21635046"
"2004/Mai";"98375";"36327";"180026";"39234";"394939";"28364";"69845";"377103";"131324";"308501";"96383";"148328";"338716";"135245";"84747";"699803";"845715";"188356";"505076";"1909120";"375125";"189469";"503212";"111156";"175458";"251593";"94605";"8316145"
"2004/Jun";"255876";"152545";"550338";"87124";"1758807";"114784";"234066";"1132329";"485598";"1242096";"401604";"496027";"1287098";"766323";"291950";"2354380";"2711925";"534051";"1980944";"5229588";"1338450";"728157";"1321981";"398445";"545695";"850771";"334016";"27584968"
"2004/Jul";"67660";"29617";"145775";"26451";"311579";"29240";"55651";"274050";"114676";"289993";"102495";"130300";"329888";"159231";"73751";"498529";"653336";"140476";"521428";"1526698";"311399";"168329";"324595";"93768";"139022";"305306";"89713";"6912956"
"2004/Ago";"407848";"213787";"782558";"114758";"2464351";"174041";"421013";"1852210";"875609";"2104520";"780200";"910520";"2467801";"868808";"445207";"3628269";"4780674";"826196";"2753577";"7492184";"2411377";"1073069";"2439169";"588567";"661124";"1225910";"622368";"43385715"
"2004/Set";"86091";"44893";"174625";"43108";"428887";"38844";"65311";"382620";"124594";"344693";"93608";"129193";"365001";"143183";"241573";"1081446";"777787";"181300";"675224";"3835104";"397937";"462011";"401087";"140814";"312362";"339447";"106414";"11417157"
"2004/Out";"62203";"33049";"134691";"28049";"289959";"27531";"79002";"254351";"110776";"261354";"94027";"114728";"297499";"127425";"83399";"457152";"588649";"119152";"467755";"1303751";"331728";"173860";"306981";"79087";"116281";"221959";"90353";"6254751"
"2004/Nov";"61163";"46896";"139112";"27973";"346201";"26995";"93124";"283054";"148903";"308194";"95210";"117662";"372022";"149999";"72111";"540793";"680577";"145760";"457538";"1314188";"434507";"172443";"312928";"56943";"129345";"208251";"88081";"6829973"
"2004/Dez";"50168";"44585";"143806";"17211";"270605";"23535";"74794";"221949";"107345";"245763";"85804";"97455";"294182";"162462";"61530";"649931";"569297";"101401";"468593";"1201637";"327077";"135093";"293942";"77198";"112245";"185518";"90918";"6114044"
"2005/Jan";"60829";"38147";"143753";"28580";"279086";"24850";"75039";"258850";"120024";"280416";"101454";"122238";"293242";"127728";"62280";"450278";"668572";"111140";"481630";"1407254";"350775";"184180";"320091";"96592";"97720";"192154";"90643";"6467545"
"2005/Fev";"57520";"32353";"139823";"35231";"285151";"24704";"66754";"257721";"111872";"255042";"85578";"107753";"294744";"118085";"59856";"484487";"628994";"107742";"447439";"1255723";"341889";"167110";"300073";"95986";"112913";"199132";"84040";"6157715"
"2005/Mar";"67056";"40748";"161628";"35016";"318783";"26188";"86307";"323795";"142767";"300804";"101425";"116976";"315004";"148859";"67768";"509314";"681697";"113410";"493680";"1403814";"430532";"171267";"329928";"89957";"120422";"204641";"96018";"6897804"
"2005/Abr";"140338";"81125";"311003";"48487";"792089";"54426";"177337";"796113";"404472";"926265";"330556";"445284";"1008115";"377506";"202034";"1456886";"2254167";"371001";"1822879";"4217723";"1349340";"582607";"1243624";"233222";"274220";"595653";"214125";"20710597"
"2005/Mai";"112147";"60470";"212548";"40967";"443288";"31288";"91318";"434518";"144982";"316407";"104248";"145253";"382533";"142548";"74976";"652013";"896721";"167085";"591321";"2050686";"536270";"218885";"423259";"114934";"166738";"292476";"107449";"8955328"
"2005/Jun";"277818";"167135";"637807";"114937";"1739909";"132086";"242998";"1324216";"482076";"1292754";"384856";"494023";"1374099";"493946";"277996";"2253423";"2636496";"473034";"1979235";"5241880";"1403644";"730435";"1264556";"360110";"540175";"824263";"319691";"27463598"
"2005/Jul";"81253";"43795";"196026";"35251";"344118";"27634";"65255";"294562";"112890";"282104";"101490";"126168";"346454";"143808";"62815";"604604";"633846";"122639";"524458";"1473923";"356745";"195653";"307967";"93191";"177513";"226853";"90377";"7071392"
"2005/Ago";"271000";"164098";"615956";"108524";"1700389";"119872";"267982";"1252607";"483366";"1530028";"433901";"564484";"1420020";"504957";"281497";"2292323";"2578465";"465037";"1975128";"5027578";"1329570";"722609";"1181336";"350370";"447338";"800629";"322757";"27211821"
"2005/Set";"83895";"46171";"200793";"31049";"376840";"37665";"64386";"332066";"115349";"495022";"100027";"130265";"339990";"136527";"69916";"1021512";"632289";"117557";"509604";"1309101";"325538";"168487";"304804";"88819";"256519";"286515";"91732";"7672438"
"2005/Out";"67842";"36614";"167702";"37787";"333110";"29251";"69179";"304843";"122609";"438245";"100188";"139708";"375055";"146487";"71482";"627121";"657008";"114618";"480800";"1278860";"343167";"175945";"308262";"91653";"147557";"219085";"85264";"6969442"
"2005/Nov";"66432";"39973";"177842";"31346";"362759";"31023";"76341";"335931";"130559";"405092";"101468";"132385";"371380";"152388";"76273";"571902";"662458";"121587";"461640";"1331192";"375577";"180276";"331028";"98345";"141097";"220920";"83523";"7070737"
"2005/Dez";"54844";"45911";"160650";"36177";"307067";"22434";"72563";"310866";"113194";"311160";"82408";"117458";"315489";"124498";"65549";"731793";"582467";"109887";"459020";"1173510";"327854";"142710";"311004";"89289";"131129";"192049";"82110";"6473090"
"2006/Jan";"61978";"33669";"169975";"35232";"313921";"27870";"67888";"282501";"112345";"280099";"85442";"109074";"352272";"127378";"60686";"466464";"636999";"100954";"490437";"1308976";"322622";"166862";"310600";"89480";"100360";"200871";"90909";"6405864"
"2006/Fev";"50048";"28387";"151254";"28908";"289502";"23126";"58901";"267395";"99521";"266835";"75623";"101977";"287894";"106553";"60271";"469605";"552768";"91021";"416580";"1110223";"302194";"147914";"290495";"83006";"123593";"195624";"72423";"5751641"
"2006/Mar";"70896";"31547";"182510";"33953";"295892";"33347";"72295";"278360";"120897";"343834";"87779";"117811";"304877";"110846";"65336";"458149";"660706";"113347";"493275";"1377064";"342504";"173736";"317602";"96218";"115040";"185704";"104954";"6588479"
"2006/Abr";"137398";"73388";"323289";"50288";"727876";"51280";"149899";"699394";"356464";"961240";"310118";"401983";"988444";"303365";"196029";"1477185";"2225209";"362049";"1776992";"4201632";"1117658";"584461";"1196990";"238899";"277984";"580908";"217951";"19988373"
"2006/Mai";"96968";"38833";"220685";"43983";"359722";"38595";"78316";"336966";"134167";"333790";"104114";"141015";"314839";"106933";"66749";"621859";"827247";"131296";"527735";"2019520";"434907";"229945";"449946";"119285";"165861";"263134";"120656";"8327066"
"2006/Jun";"253801";"147579";"586915";"96871";"1539877";"115449";"233088";"1158946";"451706";"1050054";"378013";"484156";"1192756";"442407";"275553";"2071307";"2475715";"432138";"1737272";"4909514";"1249086";"672462";"1153494";"358740";"464538";"791601";"312845";"25035883"
"2006/Jul";"70337";"39519";"183507";"29846";"332516";"28073";"59971";"278213";"111087";"269963";"93789";"135535";"288990";"115352";"63149";"528868";"607391";"116014";"514695";"1448624";"353136";"173291";"287908";"99535";"127843";"224177";"101067";"6682396"
"2006/Ago";"254020";"129566";"576393";"92324";"1357708";"113986";"228612";"1099971";"441448";"1201523";"382725";"494810";"1203078";"468725";"275010";"1984706";"2340601";"463903";"1720339";"4788022";"1219057";"667292";"1093255";"332757";"405792";"762312";"319445";"24417380"
"2006/Set";"65250";"46817";"178787";"29534";"510109";"27951";"57878";"296729";"107071";"247819";"87351";"123530";"295703";"102527";"99064";"632872";"630546";"114822";"469177";"1240196";"308008";"161381";"275413";"96644";"165777";"251030";"87253";"6709239"
"2006/Out";"62451";"32043";"168781";"23765";"305385";"28308";"63834";"297381";"112247";"255980";"85029";"124606";"283716";"107106";"118382";"489388";"1397150";"115143";"509333";"1273219";"326419";"175988";"275146";"92775";"113243";"212829";"90350";"7139997"
"2006/Nov";"61959";"32656";"193511";"24691";"349145";"25121";"68649";"317488";"138354";"288254";"84249";"133838";"284906";"109699";"109861";"559396";"927691";"110093";"501477";"1234744";"311730";"172240";"272902";"99964";"110087";"198805";"85447";"6806957"
"2006/Dez";"53349";"35938";"177230";"31968";"305445";"20827";"53871";"277423";"119888";"244373";"67448";"117276";"264868";"93172";"92413";"773987";"599657";"100817";"517384";"1119557";"277452";"137129";"254850";"90198";"81041";"196790";"82887";"6187238"
"2007/Jan";"63599";"32011";"195740";"31364";"304935";"30516";"68192";"304998";"130954";"295779";"88371";"132245";"733118";"123097";"81112";"1155080";"710946";"143257";"522814";"1442595";"337567";"192996";"281129";"92064";"94933";"215768";"103815";"7908995"
"2007/Fev";"60414";"36426";"184897";"24804";"298171";"26509";"58453";"278220";"118010";"316530";"77969";"118774";"315128";"107748";"73228";"1234332";"602518";"122053";"458111";"1297354";"318509";"164021";"273937";"93457";"118938";"255976";"92367";"7126854"
"2007/Mar";"75359";"39038";"196664";"28875";"327794";"32304";"71379";"287043";"143460";"313328";"88762";"140695";"315701";"122085";"72773";"559854";"709073";"122411";"488674";"1430034";"356234";"184198";"298192";"102976";"111729";"241782";"101433";"6961850"
"2007/Abr";"150396";"79433";"345895";"56600";"759714";"57878";"160223";"754721";"406568";"958913";"335881";"441169";"992704";"322092";"214152";"1543494";"2518176";"386544";"1847912";"4565793";"1145104";"618325";"1226292";"266295";"278001";"650744";"230117";"21313136"
"2007/Mai";"103496";"42524";"249133";"37373";"403847";"31379";"81478";"353242";"170796";"309403";"106779";"138280";"321628";"123997";"74373";"637381";"1059543";"148096";"2292899";"2120308";"441435";"254122";"417693";"149201";"144239";"365313";"119414";"10697372"
"2007/Jun";"252160";"154543";"623379";"121290";"1466454";"119574";"239187";"1177584";"471643";"1176929";"367613";"502192";"1239945";"449448";"285984";"1981722";"2526281";"460052";"2157171";"5095886";"1265082";"650046";"1112801";"388193";"444004";"902312";"378309";"26009784"
"2007/Jul";"63747";"40363";"210871";"32840";"349376";"27784";"60222";"323059";"136371";"296439";"90542";"143006";"321260";"126141";"72956";"563816";"703976";"178373";"511004";"1391169";"322862";"175685";"311124";"128570";"156961";"306250";"112520";"7157287"
"2007/Ago";"231120";"146359";"588353";"97531";"1392726";"110374";"240072";"1147303";"454412";"1168879";"381490";"586778";"1348792";"448497";"289566";"1894546";"2427147";"462707";"1734002";"4814802";"1231763";"669640";"1212127";"350619";"412347";"810213";"332290";"24984455"
"2007/Set";"55740";"67540";"175987";"33140";"433193";"31391";"78056";"335882";"125451";"295160";"93509";"189343";"355937";"107728";"76624";"630054";"667323";"148710";"473734";"1336843";"341008";"196618";"374868";"122575";"178430";"350786";"125206";"7400836"
"2007/Out";"67496";"69811";"218250";"30840";"337690";"27151";"98656";"319441";"144503";"315738";"97744";"178087";"298607";"118903";"71726";"520748";"701858";"144469";"453667";"1412821";"352560";"210489";"402808";"131736";"120657";"8659178";"130337";"15635971"
"2007/Nov";"64001";"58497";"180723";"30247";"340281";"32516";"85834";"332445";"138119";"286615";"91037";"148518";"293620";"104970";"68055";"522896";"641845";"131858";"417648";"1346221";"341985";"189154";"392342";"125051";"128054";"276941";"109634";"6879107"
"2007/Dez";"28237";"41853";"168294";"30606";"305260";"25473";"65781";"264429";"120382";"237179";"78231";"120158";"267476";"27764";"63558";"555223";"525032";"102547";"410837";"1133153";"299706";"131978";"296310";"89908";"122250";"432940";"204343";"6148908"
"2008/Jan";"178932";"75967";"362598";"60897";"539062";"74862";"306930";"534600";"242915";"279979";"105946";"150260";"315964";"122322";"80380";"748521";"1883132";"194801";"722718";"2503923";"914969";"282486";"412679";"718125";"245769";"2537221";"1517543";"16113501"
"2008/Fev";"95359";"47823";"223540";"54141";"410146";"50568";"122303";"340751";"153958";"250593";"91932";"114621";"295005";"107600";"70184";"744376";"886075";"124255";"489038";"1708831";"492755";"208273";"338631";"253716";"336598";"675273";"134347";"8820692"
"2008/Mar";"73193";"42638";"195949";"38518";"348803";"42231";"92080";"304990";"132154";"242645";"89295";"120420";"285585";"109644";"67263";"469846";"671144";"118820";"452538";"1451486";"673512";"193962";"298224";"140579";"253032";"273777";"110817";"7293145"
"2008/Abr";"163535";"83750";"382469";"47611";"772385";"67252";"169657";"768378";"374631";"927227";"329855";"457632";"988174";"311714";"202086";"1498203";"2410374";"398326";"1833345";"4765701";"1536054";"667083";"1268011";"298052";"341017";"653758";"267754";"21984034"
"2008/Mai";"86012";"55741";"241685";"41415";"385744";"39239";"77744";"322213";"114494";"262971";"104996";"132306";"281811";"104264";"66214";"536484";"761395";"137485";"468172";"1827212";"459226";"293621";"395764";"160103";"180770";"272122";"121542";"7930745"
"2008/Jun";"235824";"162863";"613409";"98733";"1449405";"120126";"221654";"1128580";"415988";"1094560";"361694";"482241";"1188596";"417826";"276580";"1888523";"2317221";"451737";"1683337";"5486196";"1227098";"678426";"1119244";"375737";"451155";"856423";"325433";"25128609"
"2008/Jul";"93365";"46589";"209090";"37541";"354966";"33961";"59464";"314328";"110717";"289237";"92169";"128276";"304445";"90409";"73825";"509206";"597810";"124486";"436938";"1752540";"318905";"218024";"294184";"106923";"178667";"293709";"113787";"7183561"
"2008/Ago";"785330";"392150";"1709946";"100206";"1314394";"310791";"678215";"4128356";"1237769";"3916163";"1807631";"1055138";"3994470";"1252552";"954000";"6660916";"8078823";"1586615";"5464403";"17949413";"4486097";"2609902";"2455944";"851361";"1917717";"1594276";"1200574";"78493152"
"2008/Set";"90069";"74149";"223520";"152362";"2793457";"37957";"76852";"570992";"170501";"424054";"86999";"177688";"311583";"272104";"71955";"718245";"1312741";"126317";"2305833";"1569997";"384651";"183927";"1274657";"432341";"220199";"842252";"130875";"15036277"
"2008/Out";"68268";"41209";"180388";"25861";"295497";"30558";"61627";"304484";"107247";"229042";"85706";"188614";"284733";"107734";"67233";"523190";"672926";"111919";"1189775";"1327473";"323354";"170674";"540508";"101989";"140363";"340664";"107954";"7628990"
"2008/Nov";"60769";"42827";"174280";"22799";"365440";"27774";"58004";"320993";"136194";"249164";"89965";"187754";"288847";"103223";"69733";"471113";"662150";"107011";"765362";"1262275";"313719";"170762";"343534";"96712";"117132";"320188";"97071";"6924795"
"2008/Dez";"63348";"35839";"164874";"22486";"291755";"24093";"54374";"250724";"111202";"219478";"79800";"513457";"255652";"88529";"59319";"1007920";"3344906";"96475";"506256";"1185319";"284441";"144051";"917295";"74086";"112904";"420456";"92967";"10422006"
"2009/Jan";"71386";"39852";"166252";"26308";"338173";"33958";"68282";"305774";"118565";"281881";"95568";"128546";"307631";"124366";"63584";"454716";"630033";"121480";"486029";"1570029";"366902";"227964";"940767";"113427";"118145";"230234";"115291";"7545143"
"2009/Fev";"61200";"43449";"176474";"30326";"354901";"27994";"58923";"296226";"101339";"257771";"90140";"118407";"293220";"112111";"67200";"501231";"613724";"106698";"455434";"1391643";"337452";"196115";"607787";"92079";"127045";"217624";"94120";"6830633"
"2009/Mar";"78320";"46723";"192866";"30197";"366351";"39865";"72170";"336806";"124192";"304858";"103216";"306987";"331243";"129679";"75675";"500281";"717166";"129376";"499626";"1892648";"388163";"224835";"479033";"112963";"130596";"239180";"124558";"7977573"
"2009/Abr";"175826";"98756";"395718";"52883";"854416";"68938";"168620";"793589";"377203";"971976";"361385";"572833";"1132260";"348052";"218450";"1680195";"2668398";"426462";"2087558";"6012178";"1405596";"783464";"2391558";"311878";"327752";"733734";"298881";"25718559"
"2009/Mai";"102095";"61884";"270893";"45781";"389357";"44650";"75985";"331845";"122000";"288292";"110028";"184690";"345681";"143461";"75362";"583484";"826309";"142745";"548560";"2379911";"449174";"323828";"1538289";"168367";"163528";"273416";"142516";"10132131"
"2009/Jun";"235537";"161981";"603714";"89725";"1251442";"126216";"214300";"1096373";"427973";"1091931";"385134";"487433";"1168180";"456845";"281280";"1847484";"2375441";"436160";"1739459";"5313877";"1257067";"699820";"1350963";"373798";"410036";"762935";"324659";"24969763"
"2009/Jul";"78821";"51180";"222510";"33493";"368883";"33888";"62252";"319056";"114969";"293546";"117563";"161302";"356358";"142408";"81219";"593539";"694741";"140318";"518918";"1646326";"362237";"214706";"366274";"114543";"172975";"258878";"119879";"7640782"
"2009/Ago";"83649";"50755";"236356";"34455";"362098";"29865";"76220";"330276";"135846";"299924";"111135";"148643";"355150";"141334";"82765";"584192";"672065";"124241";"526157";"1559254";"349497";"204453";"302535";"104958";"133280";"237496";"109240";"7385839"
"2009/Set";"231824";"161613";"586026";"84498";"1358423";"139834";"207777";"1040485";"392692";"1107984";"378013";"514760";"1169463";"472257";"281668";"1829517";"2187324";"412418";"1701191";"4790004";"1234951";"660914";"1016735";"332099";"393470";"722056";"316655";"23724651"
"2009/Out";"73700";"45577";"188910";"31529";"398248";"32109";"64342";"313791";"113636";"301268";"109719";"155237";"331628";"128525";"77242";"506469";"633058";"114704";"429541";"1395523";"369792";"194525";"297041";"97214";"143139";"220065";"102438";"6868970"
"2009/Nov";"71377";"45782";"194757";"27477";"357114";"33492";"64534";"321920";"117710";"301281";"112152";"151407";"398457";"128213";"80511";"529814";"1046236";"120391";"491719";"1421096";"375131";"207254";"300223";"102290";"122790";"221790";"100355";"7445273"
"2009/Dez";"60858";"42972";"168389";"23331";"309434";"24388";"55808";"285115";"91125";"241842";"94988";"128926";"301697";"108463";"71483";"494455";"616708";"105822";"441285";"1268341";"323401";"157826";"295500";"77925";"117895";"192228";"101643";"6201848"
"2010/Jan";"62624";"35054";"166464";"28580";"283981";"30336";"62421";"303349";"109500";"267545";"90195";"122126";"289917";"117479";"61364";"431720";"693606";"106104";"452446";"1550321";"348092";"214055";"271015";"100242";"90730";"223051";"108194";"6620511"
"2010/Fev";"58800";"38491";"161654";"24336";"298224";"27786";"58503";"281176";"94189";"232663";"82132";"110631";"265304";"97894";"63402";"580544";"657648";"99377";"396021";"1381597";"340596";"177885";"258689";"83234";"109941";"205622";"92680";"6279019"
"2010/Mar";"79042";"49855";"213715";"27300";"345633";"38187";"82470";"349391";"115882";"286147";"110164";"160277";"321492";"119914";"81410";"592354";"866520";"170247";"472446";"1818434";"435238";"291572";"308719";"120143";"109971";"243781";"129028";"7939332"
"2010/Abr";"169658";"91068";"377209";"51808";"752225";"61051";"191775";"755256";"338943";"933218";"350204";"493969";"1074849";"315424";"232711";"1914759";"2794367";"439545";"1947458";"5532617";"1474609";"817637";"1371720";"319574";"332406";"710761";"290773";"24135594"
"2010/Mai";"91309";"54318";"228355";"34476";"328776";"39200";"97853";"751223";"115615";"262360";"112881";"148452";"335432";"122534";"87347";"813429";"1036498";"166822";"452673";"2007380";"541910";"278970";"332200";"147591";"157787";"270431";"135655";"9151477"
"2010/Jun";"225175";"146752";"558016";"78697";"1128337";"119081";"205659";"1003083";"382797";"991398";"364114";"446032";"1103817";"382464";"274088";"1818283";"2344979";"416408";"1523650";"4835276";"1246010";"706691";"1015727";"339706";"415139";"742506";"332252";"23146137"
"2010/Jul";"78529";"38928";"169788";"28642";"340574";"28707";"60501";"287702";"104241";"253948";"127474";"144577";"327749";"130348";"77905";"628459";"820838";"135686";"452264";"1626144";"415133";"232010";"305134";"110114";"147365";"272260";"122086";"7467106"
"2010/Ago";"227038";"143586";"573615";"79031";"1183000";"110083";"207221";"1014739";"392786";"1025388";"424523";"464736";"1125346";"453807";"285670";"2021335";"2269125";"403693";"1582008";"4828180";"1207714";"682898";"1009148";"334063";"406574";"761153";"328128";"23544588"
"2010/Set";"69962";"37490";"187582";"33134";"332758";"40434";"63750";"294632";"105686";"441188";"119685";"103990";"286317";"111353";"80433";"578586";"710513";"127735";"481307";"1581467";"352343";"204716";"282288";"101361";"147602";"231719";"128229";"7236260"
"2010/Out";"70735";"36786";"171534";"29123";"293336";"32233";"62908";"306594";"106597";"335397";"112730";"177925";"318258";"123561";"83185";"553539";"720655";"144336";"567160";"1553765";"363959";"205828";"310131";"106499";"122556";"235511";"113382";"7258223"
"2010/Nov";"77844";"42920";"188006";"26266";"314787";"37768";"74261";"375187";"128687";"394033";"125557";"297657";"379455";"143366";"72640";"556932";"738599";"134783";"569562";"1772546";"403895";"254809";"342119";"118289";"128609";"276681";"112268";"8087526"
"2010/Dez";"74815";"45089";"173725";"25654";"295445";"25012";"60107";"312191";"110248";"306390";"122478";"185057";"376601";"125821";"77618";"577105";"666419";"134416";"533850";"1543774";"363184";"196936";"351874";"96288";"128808";"254168";"130133";"7293206"
"2011/Jan";"78515";"52875";"196916";"28289";"298736";"36346";"76067";"342914";"159985";"332372";"115975";"137672";"364084";"145600";"87854";"563224";"762032";"140854";"619477";"1811493";"433299";"281731";"356969";"137292";"119432";"304291";"134085";"8118379"
"2011/Fev";"81401";"54573";"205619";"31316";"338980";"37710";"70299";"350826";"133528";"321342";"120352";"153170";"404118";"139002";"86468";"621598";"763794";"129287";"575243";"1755580";"435436";"254987";"363906";"122861";"133336";"276826";"118957";"8080515"
"2011/Mar";"83531";"63567";"200936";"30902";"352575";"36177";"78804";"360341";"145625";"331526";"118801";"151506";"351205";"133112";"83571";"522007";"854134";"138264";"572153";"1768870";"461650";"257754";"371554";"126537";"136401";"267753";"115800";"8115056"
"2011/Abr";"88499";"60827";"224945";"34412";"406099";"37403";"87380";"377548";"145662";"352199";"127008";"146333";"401524";"136593";"97751";"641718";"1032324";"146075";"583744";"2051747";"542124";"299887";"382832";"135232";"153236";"279454";"121743";"9094299"
"2011/Mai";"95261";"69946";"273863";"35454";"463237";"50231";"79556";"415773";"144035";"399395";"133988";"162041";"408944";"141693";"101468";"708980";"1066514";"176964";"639334";"2714831";"584602";"385011";"444672";"157199";"172595";"310837";"161966";"10498390"
"2011/Jun";"94141";"80868";"244462";"32734";"501808";"41423";"88178";"442618";"149370";"465670";"143718";"174167";"512142";"162595";"111205";"746097";"1115593";"183380";"676479";"3068991";"552076";"362655";"638554";"156938";"170721";"332621";"128591";"11377795"
"2011/Jul";"89306";"60606";"224083";"40611";"423932";"34978";"63379";"379975";"143990";"404435";"138180";"160260";"455643";"131142";"99983";"729272";"884124";"168914";"678226";"2233442";"481204";"303430";"557882";"142648";"170931";"281547";"133692";"9615815"
"2011/Ago";"107227";"69039";"245690";"31686";"540867";"49985";"92286";"513417";"189048";"473032";"179164";"206162";"532473";"162691";"121934";"864849";"973893";"181023";"714801";"2218467";"542936";"336733";"492630";"172728";"177376";"389017";"155643";"10734797"
"2011/Out";"79671";"53615";"210238";"34426";"398652";"37735";"72399";"392038";"137148";"353447";"135050";"159828";"395828";"130543";"101438";"750430";"813541";"143259";"560680";"1685078";"442794";"268015";"362806";"130018";"147713";"292975";"132309";"8421674"
"2011/Nov";"82102";"58393";"205894";"28219";"393192";"39738";"72057";"302853";"148584";"415548";"130980";"163183";"400925";"129318";"96634";"648829";"835616";"140086";"567265";"1712319";"438050";"271347";"352006";"133412";"145149";"278702";"119304";"8309705"
"2011/Set";"95390";"60872";"222663";"30358";"440639";"42474";"75227";"419649";"146319";"344338";"146565";"158916";"396728";"133986";"103404";"718965";"770141";"157890";"596251";"1772434";"482578";"283991";"366646";"149903";"179533";"312937";"48900";"8657697"
"2011/Dez";"71245";"43455";"182915";"31615";"358393";"31526";"60237";"329693";"119834";"317964";"116141";"135675";"382710";"111852";"91720";"602894";"718327";"136821";"558891";"1548486";"372618";"202316";"315632";"100973";"131045";"242646";"121640";"7437264"
"2012/Jan";"101566";"51297";"234459";"32410";"418689";"42831";"85741";"434064";"163979";"412138";"141475";"163863";"421153";"170321";"103835";"652023";"939550";"169119";"691191";"2031723";"475529";"305535";"393587";"150912";"145747";"313261";"149223";"9395221"
"2012/Fev";"97989";"51692";"232198";"37448";"416446";"39476";"72102";"385801";"145957";"347592";"128835";"162376";"444019";"152456";"105377";"645895";"823517";"147445";"602171";"1862198";"448377";"289454";"372908";"130602";"175695";"297161";"135566";"8750753"
"2012/Mar";"97368";"54188";"264725";"37071";"451887";"45819";"88953";"429169";"163785";"389849";"154450";"174775";"435762";"169726";"101487";"687892";"929378";"171448";"684105";"2028092";"490309";"298285";"412639";"152925";"163111";"320953";"153478";"9551629"
"2012/Abr";"87656";"61100";"248715";"35153";"443221";"46921";"72631";"409286";"153685";"517688";"143631";"162305";"444204";"155746";"101401";"689593";"836152";"153626";"627509";"1913646";"458500";"270773";"384828";"135288";"165479";"280964";"139908";"9139609"
