"Ano/mês";"RO";"AC";"AM";"RR";"PA";"AP";"TO";"MA";"PI";"CE";"RN";"PB";"PE";"AL";"SE";"BA";"MG";"ES";"RJ";"SP";"PR";"SC";"RS";"MS";"MT";"GO";"DF";" Total"
"2015/Ago";"153556";"86405";"397373";"60479";"527252";"70650";"137333";"600255";"173287";"637506";"228228";"228069";"737128";"232995";"149725";"1069848";"1277479";"220302";"1109468";"2598492";"681644";"447089";"662851";"252749";"260450";"536556";"175746";"13712915"
"2015/Set";"110061";"37431";"244564";"43209";"270624";"44820";"75133";"368624";"119725";"554526";"144297";"154847";"511236";"2373099";"104764";"692346";"857243";"182349";"691805";"2046431";"413775";"332109";"384850";"161392";"181144";"302792";"40263";"11443459"
"2015/Out";"90856";"38000";"227958";"40181";"256085";"39691";"70745";"326535";"115300";"428143";"131350";"153740";"465325";"160518";"93485";"621953";"749219";"158071";"649288";"1985774";"418292";"274618";"366514";"142089";"173105";"269695";"28525";"8475055"
"2015/Nov";"88304";"33022";"206675";"37740";"248857";"39927";"63693";"309372";"114613";"428315";"120482";"150816";"431405";"138230";"89610";"559100";"724197";"132776";"613269";"1832304";"408993";"260526";"342902";"133045";"170683";"251515";"29138";"7959509"
"2015/Dez";"71314";"25665";"168905";"34911";"171415";"32678";"44990";"211775";"78658";"353581";"97827";"117785";"359296";"104542";"70279";"438178";"618966";"112053";"537749";"1562954";"351617";"188940";"291908";"98140";"127313";"200838";"22225";"6494502"
"2016/Jan";"94414";"38399";"185980";"31106";"276513";"43175";"57818";"263035";"108921";"395770";"103360";"131635";"369056";"124978";"74255";"497727";"671504";"124089";"564729";"1630707";"407525";"245580";"304964";"140157";"159671";"226681";"165874";"7437623"
"2016/Fev";"74344";"34563";"145803";"34061";"235448";"39663";"48651";"224306";"86671";"345694";"88187";"111420";"311768";"93289";"64057";"454087";"597784";"107666";"448627";"1277832";"349115";"198845";"259275";"119031";"139806";"214023";"191051";"6295067"
"2016/Mar";"88417";"34625";"172533";"37995";"249635";"44566";"61387";"251972";"108571";"375922";"101142";"119305";"331928";"114441";"76252";"432415";"647107";"130029";"575154";"1423987";"362472";"224256";"293748";"122977";"154523";"238119";"182134";"6955612"
"2016/Abr";"99499";"42927";"174136";"34230";"269466";"39873";"67571";"274332";"155431";"384434";"106373";"124620";"361090";"120705";"74385";"459112";"770400";"142054";"593437";"1468870";"441771";"487594";"324586";"126914";"162000";"251230";"239753";"7796793"
"2016/Mai";"89802";"48481";"207297";"37036";"266569";"39067";"61877";"285312";"196862";"385303";"107450";"122987";"365317";"118965";"74046";"488364";"812154";"141012";"562658";"1543681";"418936";"441951";"325015";"154219";"166632";"246704";"235642";"7943339"
"2016/Jun";"92732";"34537";"178832";"38691";"265116";"35041";"60917";"251772";"115292";"381771";"99703";"108746";"346862";"112603";"62862";"399977";"678786";"146563";"610785";"1247191";"389027";"296201";"319271";"134502";"157837";"244724";"199766";"7010107"
"2016/Jul";"80530";"29686";"163280";"37916";"220460";"34229";"51268";"222284";"93905";"363626";"109135";"128984";"389355";"128968";"78789";"442440";"646794";"154429";"636327";"1514037";"366785";"253214";"301472";"117501";"157368";"193919";"189064";"7105765"
"2016/Ago";"83329";"30478";"228410";"39885";"277897";"43387";"65354";"250345";"105311";"380519";"106212";"125392";"387128";"125422";"79006";"459702";"697912";"175444";"630708";"1593258";"388760";"232039";"328141";"125594";"154071";"232925";"178230";"7524859"
"2016/Set";"161287";"80058";"422993";"55172";"579646";"72992";"151711";"541309";"241827";"708658";"195214";"237694";"661678";"251274";"146445";"982280";"1755230";"273522";"1093133";"3440931";"801879";"507469";"872214";"255342";"317233";"575502";"355170";"15737863"
"2016/Out";"75376";"30697";"170071";"39338";"208443";"31982";"60377";"226570";"84147";"359702";"94585";"102821";"371252";"105404";"66878";"489579";"635080";"125476";"557253";"1433144";"357797";"212560";"305225";"113603";"143058";"214144";"160499";"6775061"
"2016/Nov";"67158";"32272";"166611";"36166";"229730";"31112";"58864";"233445";"92123";"357544";"95162";"111916";"346473";"123912";"74407";"391584";"604034";"134711";"537111";"1443437";"366653";"227961";"323729";"117671";"137793";"212456";"138911";"6692946"
"2016/Dez";"61555";"25995";"132432";"26775";"180097";"26921";"41335";"146733";"63510";"301680";"74771";"90247";"276753";"86176";"50416";"324868";"521816";"116525";"483783";"1261905";"295274";"165436";"267920";"86017";"111739";"171323";"238385";"5630387"
"2017/Jan";"107274";"38857";"253656";"48066";"384652";"35155";"100503";"366334";"132476";"381446";"90397";"157455";"422629";"149985";"86816";"667082";"2914616";"564454";"748692";"2267634";"522172";"302788";"399192";"181456";"205891";"356772";"168801";"12055251"
"2017/Fev";"104000";"38558";"203502";"66273";"318214";"34896";"90723";"331553";"121784";"334508";"84629";"140102";"383156";"124581";"71368";"738160";"2398815";"717687";"903110";"1970074";"432436";"224463";"321151";"188522";"184353";"292537";"145598";"10964753"
"2017/Mar";"115939";"48970";"298271";"77416";"501969";"44775";"106643";"416522";"148101";"429319";"105622";"164025";"410320";"163535";"95922";"725835";"2235132";"1355934";"3212753";"2517585";"535545";"293385";"482349";"175787";"217483";"336733";"164966";"15380836"
"2017/Abr";"101753";"37675";"215904";"57338";"338298";"37128";"66843";"282117";"108588";"379290";"85945";"135847";"329854";"121554";"74121";"980058";"946841";"290703";"1678508";"1969515";"386745";"268071";"328527";"133328";"169772";"250241";"114765";"9889329"
"2017/Mai";"101269";"45686";"273061";"49828";"341437";"37988";"81657";"327633";"120579";"433316";"96736";"138220";"383684";"143161";"87493";"766537";"951262";"252166";"1281897";"2249874";"455082";"318633";"363383";"153873";"194147";"271114";"133368";"10053084"
"2017/Jun";"73109";"36917";"188091";"35102";"279807";"31063";"61347";"263051";"107002";"390844";"85133";"120954";"345853";"118350";"70428";"579016";"732754";"177641";"971020";"1699499";"376301";"299837";"323308";"125131";"163337";"228375";"100852";"7984122"
"2017/Jul";"64377";"32944";"193853";"39316";"260189";"30805";"52527";"275777";"104651";"398999";"102360";"134615";"362836";"145628";"78465";"518667";"719462";"161468";"994110";"1731916";"392202";"251367";"331673";"123231";"150824";"227634";"103342";"7983238"
